id;nom;insee;pop_2010;densite_2010;surface;coord1_degree;coord2_degree;coord1_grd;coord2_grd;coord1_dms;coord2_dms
35778;LES GRANGES-LE-ROI;91284;1067;84;12.68;2.01667;48.5;-353;53891;20109;483006
35779;GOMETZ-LE-CHATEL;91275;2588;512;5.05;2.13333;48.6833;-220;54087;20819;484043
35780;BOUTIGNY-SUR-ESSONNE;91099;3103;191;16.2;2.3775;48.4359;45;53818;22239;482609
35781;MEREVILLE;91390;3221;119;26.99;2.08333;48.3167;-278;53683;20511;481854
35782;BOUTERVILLIERS;91098;366;52;7.01;2.05;48.45;-312;53836;20320;482709
35783;MAUCHAMPS;91378;286;90;3.16;2.18333;48.5333;-158;53923;21139;483149
35784;IGNY;91312;10336;2705;3.82;2.21667;48.7333;-123;54158;21334;484432
35785;VIRY-CHATILLON;91687;32045;5279;6.07;2.38333;48.6667;44;54077;22233;484010
35786;BOUVILLE;91100;616;30;20.53;2.3;48.4333;-75;53813;21610;482553
35787;ETAMPES;91223;23158;565;40.92;2.15;48.4333;-194;53817;20944;482606
35788;GOMETZ-LA-VILLE;91274;1374;139;9.86;2.11667;48.6667;-232;54080;20741;484018
35789;ARRANCOURT;91022;128;17;7.4;2.16667;48.3333;-195;53714;20940;482032
35790;BIEVRES;91064;4643;479;9.69;2.21667;48.75;-135;54173;21254;484520
35791;D'HUISON-LONGUEVILLE;91198;1409;140;10.04;2.33333;48.45;-18;53842;21914;482729
35792;CHATIGNONVILLE;91145;56;10;5.13;1.93333;48.4667;-450;53853;15554;482803
35793;DANNEMOIS;91195;840;99;8.43;2.46667;48.45;156;53836;22836;482709
35794;CHEVANNES;91159;1641;160;10.23;2.43333;48.5333;119;53924;22636;483153
35795;FORGES-LES-BAINS;91249;3723;255;14.58;2.1;48.6167;-264;54031;20557;483741
35796;ANGERVILLE;91016;3753;145;25.83;2;48.3167;-376;53678;15954;481837
35797;CORBEIL-ESSONNES;91174;43086;3913;11.01;2.48333;48.6;154;54011;22829;483637
35798;LE VAL-SAINT-GERMAIN;91630;1460;116;12.57;2.06667;48.5667;-303;53961;20350;483354
35799;PUISELET-LE-MARAIS;91508;270;23;11.27;2.26667;48.4;-83;53784;21544;482419
35800;BOIS-HERPIN;91075;75;19;3.89;2.23333;48.3667;-113;53744;21404;482212
35801;ORSAY;91471;15966;2003;7.97;2.18333;48.7;-166;54109;21115;484153
